type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
blockOfFlats,48.0,2.0,4.0,4.0,1980.0,53.4032593,14.5198134,3.53,9.0,0.416,0.855,0.449,0.102,0.171,2.002,0.079,cooperative,no,yes,no,no,yes,449000
blockOfFlats,45.5,3.0,2.0,4.0,1980.0,53.4559,14.5391,3.89,10.0,0.157,0.424,0.279,0.415,0.225,1.609,0.289,cooperative,no,yes,no,no,yes,499000
blockOfFlats,65.25,4.0,1.0,12.0,1985.0,53.4544245,14.5627738,3.45,15.0,0.268,0.094,0.063,0.446,0.113,1.386,0.032,condominium,no,no,yes,no,yes,685000
apartmentBuilding,57.36,2.0,2.0,4.0,2003.0,53.43157,14.61499,3.69,0.0,2.73,3.98,2.873,3.1,2.798,3.542,2.672,condominium,no,no,yes,no,no,690000
blockOfFlats,89.08,4.0,2.0,2.0,2018.0,53.4772951,14.5412244,6.13,1.0,1.229,2.577,0.939,0.553,0.391,2.952,0.51,condominium,yes,yes,no,no,no,849000
tenement,62.37,2.0,2.0,3.0,1930.0,53.4312283,14.56394832,0.89,18.0,0.237,0.727,0.091,0.072,0.236,0.258,0.608,condominium,yes,no,no,no,yes,539000
blockOfFlats,57.0,4.0,2.0,3.0,2000.0,53.453566,14.474175,6.66,4.0,0.487,2.461,0.696,0.848,0.07,3.951,0.069,condominium,no,no,no,no,no,610000
tenement,125.54,5.0,1.0,4.0,1936.0,53.43226655,14.54053887,1.67,72.0,0.155,0.525,0.316,0.231,0.055,0.301,0.045,condominium,no,no,no,no,yes,999000
tenement,38.7,2.0,1.0,4.0,1920.0,53.4308373,14.5419351,1.51,75.0,0.261,0.582,0.132,0.166,0.043,0.19,0.075,condominium,no,yes,no,no,no,460000
apartmentBuilding,45.34,2.0,2.0,27.0,2022.0,53.4368668,14.5530096,1.59,35.0,0.194,0.237,0.181,0.165,0.099,0.781,0.231,condominium,no,no,yes,no,no,750000
blockOfFlats,57.7,4.0,2.0,3.0,2001.0,53.4529578,14.47325005,6.68,2.0,0.548,2.481,0.672,0.825,0.155,3.989,0.16,condominium,yes,no,no,no,no,610000
blockOfFlats,30.2,1.0,3.0,6.0,2018.0,53.41485673,14.54063414,1.65,5.0,0.385,0.838,0.555,0.154,0.166,0.815,0.198,condominium,no,no,yes,no,no,445000
apartmentBuilding,76.6,3.0,1.0,2.0,2017.0,53.49572043,14.59880447,8.42,0.0,0.686,1.563,0.921,0.658,0.908,3.913,0.906,condominium,yes,yes,no,no,no,899000
blockOfFlats,30.2,2.0,1.0,3.0,1971.0,53.447378,14.565296,2.68,6.0,0.265,0.706,0.498,0.209,0.503,1.912,0.537,condominium,no,no,no,no,yes,389000
blockOfFlats,122.5,5.0,4.0,4.0,1992.0,53.437221,14.566691,1.58,17.0,0.287,0.793,0.408,0.118,0.161,0.937,0.129,cooperative,yes,yes,no,no,no,940000
blockOfFlats,67.0,3.0,8.0,10.0,1987.0,53.455554,14.561176,3.58,15.0,0.428,0.255,0.193,0.389,0.054,1.392,0.192,condominium,no,yes,yes,no,no,619000
blockOfFlats,46.7,2.0,8.0,10.0,1967.0,53.43087678,14.55465317,0.93,63.0,0.041,0.436,0.174,0.131,0.073,0.494,0.05,cooperative,no,yes,yes,no,yes,429000
blockOfFlats,62.2,3.0,10.0,11.0,1977.0,53.432131,14.50304,3.96,7.0,0.201,1.128,0.384,0.508,0.432,1.943,0.436,cooperative,yes,yes,yes,no,yes,599000
blockOfFlats,43.07,2.0,1.0,3.0,1970.0,53.4250411,14.5515636,0.65,52.0,0.252,0.226,0.093,0.105,0.102,0.722,0.053,condominium,no,no,no,no,yes,469000
apartmentBuilding,63.0,3.0,3.0,5.0,2024.0,53.4196764,14.5600333,0.42,21.0,0.504,0.688,0.382,0.568,0.386,1.081,0.162,condominium,yes,yes,yes,no,yes,890000
tenement,74.86,4.0,3.0,4.0,1900.0,53.4348359,14.5488644,1.5,51.0,0.101,0.107,0.154,0.159,0.048,0.537,0.271,condominium,no,no,no,no,yes,549000
tenement,78.6,3.0,2.0,4.0,1929.0,53.4198383,14.5504582,0.8,16.0,0.26,0.183,0.152,0.486,0.215,1.16,0.222,condominium,no,no,no,no,yes,475000
tenement,72.44,3.0,3.0,4.0,1930.0,53.4308373,14.5419351,1.51,75.0,0.261,0.582,0.132,0.166,0.043,0.19,0.075,condominium,no,no,no,no,yes,690000
tenement,43.68,2.0,2.0,3.0,1935.0,53.4438433,14.5055732,4.32,9.0,0.467,0.179,0.226,0.28,0.274,1.677,0.249,condominium,yes,no,no,no,yes,365000
blockOfFlats,26.0,2.0,3.0,4.0,1970.0,53.4223727,14.5195649,2.75,5.0,0.144,0.753,0.916,0.847,0.678,0.846,0.207,condominium,no,no,no,no,yes,349000
