type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
blockOfFlats,27.0,1.0,5.0,10.0,1977.0,51.1047,17.0214,0.89,42.0,0.13,0.19,0.165,0.165,0.348,0.13,0.065,condominium,no,no,yes,no,no,409000
blockOfFlats,63.26,3.0,4.0,10.0,1983.0,51.1367,16.968,5.19,10.0,0.322,1.426,0.444,0.521,0.503,1.392,0.398,condominium,yes,yes,yes,no,yes,698000
apartmentBuilding,46.0,2.0,6.0,17.0,2018.0,51.1136207,17.0238817,0.53,34.0,0.418,0.534,0.332,0.552,0.126,0.408,0.272,condominium,no,no,yes,no,no,870000
tenement,63.0,2.0,3.0,4.0,1905.0,51.12671438,17.05322526,2.42,14.0,0.066,0.46,0.176,0.175,0.383,1.266,0.051,condominium,no,no,no,no,yes,589000
tenement,50.0,3.0,3.0,3.0,1937.0,51.0905920940237,17.0059884302942,2.79,11.0,0.386,2.008,0.138,0.22,0.154,0.647,0.554,condominium,no,no,no,no,yes,849000
blockOfFlats,49.0,2.0,2.0,4.0,2001.0,51.156974,17.0368205,5.17,2.0,1.326,1.152,0.866,0.04,0.661,3.049,0.542,condominium,yes,yes,yes,no,yes,577000
blockOfFlats,35.5,2.0,1.0,4.0,1970.0,51.1169,17.015,1.24,21.0,0.058,0.913,0.526,0.222,0.429,0.201,0.367,cooperative,no,yes,no,no,yes,519000
blockOfFlats,68.8,3.0,3.0,4.0,2022.0,51.0586353,17.0527136,6.01,0.0,1.361,1.977,1.195,0.81,0.523,3.142,0.877,condominium,yes,yes,yes,no,no,819000
blockOfFlats,71.5,3.0,3.0,4.0,1994.0,51.1020802,16.9482988,5.77,10.0,0.763,2.551,0.556,0.313,0.284,0.879,0.115,cooperative,yes,yes,no,no,yes,790000
blockOfFlats,39.0,2.0,4.0,9.0,1980.0,51.0893211,17.0159984,2.56,26.0,0.323,1.684,0.227,0.105,0.412,0.333,0.163,condominium,no,no,yes,no,yes,635000
tenement,47.0,3.0,1.0,3.0,1930.0,51.0751228,17.0828686,5.42,6.0,0.266,3.755,1.427,0.183,0.258,0.507,0.133,cooperative,yes,no,no,no,yes,530000
blockOfFlats,49.1,2.0,2.0,6.0,1990.0,51.12281598,17.0361212,1.42,37.0,0.21,0.302,0.169,0.255,0.034,0.389,0.025,cooperative,no,yes,yes,no,yes,685000
blockOfFlats,45.57,2.0,2.0,4.0,2005.0,51.1484,17.1129,7.16,10.0,0.312,1.317,0.284,0.091,0.159,0.725,0.199,condominium,no,no,yes,no,no,499000
tenement,54.5,2.0,2.0,4.0,1920.0,51.11979686,17.03993797,1.23,41.0,0.199,0.219,0.097,0.118,0.127,0.076,0.042,condominium,no,no,no,no,yes,659000
apartmentBuilding,94.0,5.0,7.0,7.0,2007.0,51.10230372,17.00185206,2.16,11.0,0.433,1.245,0.597,0.079,0.438,0.954,0.394,condominium,yes,no,yes,no,no,1225000
apartmentBuilding,25.4,1.0,1.0,6.0,2017.0,51.1036,17.0068,1.79,13.0,0.433,1.127,0.606,0.11,0.095,0.804,0.326,condominium,no,yes,yes,yes,no,469000
blockOfFlats,54.0,3.0,7.0,10.0,1980.0,51.0996731,17.0150782,1.6,20.0,0.167,0.901,0.476,0.178,0.255,0.712,0.124,condominium,no,yes,yes,no,yes,627500
blockOfFlats,54.0,2.0,3.0,5.0,1990.0,51.0756442,17.0411497,3.98,19.0,0.341,0.84,0.472,0.144,0.074,1.572,0.067,condominium,no,yes,no,no,yes,640000
tenement,41.0,2.0,4.0,4.0,1910.0,51.1220467,17.0544595,2.13,17.0,0.179,0.07,0.617,0.183,0.461,1.119,0.066,condominium,no,no,no,no,yes,609000
blockOfFlats,55.0,2.0,4.0,6.0,2006.0,51.1012991,17.049343,1.72,27.0,0.293,0.616,0.701,0.186,0.244,0.058,0.171,condominium,no,yes,yes,no,yes,750000
blockOfFlats,54.5,2.0,1.0,6.0,1987.0,51.12539789,16.96433544,4.85,11.0,0.475,1.473,0.589,0.258,0.224,1.308,0.202,condominium,no,yes,yes,no,yes,629000
blockOfFlats,40.76,2.0,4.0,8.0,2001.0,51.1445494,17.1286337,7.86,21.0,0.103,0.784,0.27,0.17,0.279,0.456,0.107,condominium,no,yes,yes,no,no,569000
tenement,36.0,2.0,3.0,4.0,1950.0,51.1092344,17.0251985,0.36,98.0,0.175,0.393,0.164,0.377,0.011,0.089,0.157,condominium,no,no,no,no,yes,601000
blockOfFlats,54.0,3.0,7.0,10.0,1980.0,51.09360431,16.9896698,3.39,12.0,0.163,1.883,0.554,0.057,0.313,1.71,0.169,condominium,no,yes,yes,no,yes,628000
tenement,36.88,2.0,2.0,5.0,1957.0,51.1094543,17.0313322,0.18,158.0,0.248,0.37,0.111,0.19,0.023,0.232,0.022,condominium,no,no,no,no,yes,549000
blockOfFlats,87.0,4.0,5.0,8.0,1987.0,51.1271528,16.9622172,5.06,8.0,0.671,1.59,0.427,0.332,0.289,1.424,0.162,cooperative,yes,yes,yes,no,yes,899000
blockOfFlats,48.8,2.0,3.0,10.0,1980.0,51.117263,16.953252,5.39,16.0,0.166,2.426,0.688,0.196,0.711,0.711,0.065,cooperative,no,yes,yes,no,yes,575000
apartmentBuilding,30.0,1.0,3.0,4.0,2023.0,51.1459,16.9509,6.75,11.0,0.215,2.921,1.105,0.232,1.071,0.249,0.199,condominium,no,yes,yes,no,no,475000
blockOfFlats,32.0,1.0,1.0,2.0,2021.0,51.0617708,17.0754612,6.31,4.0,0.44,3.593,0.382,0.272,0.146,1.734,0.567,condominium,yes,no,yes,no,no,439000
apartmentBuilding,26.2,1.0,7.0,12.0,2022.0,51.11644143,16.99595691,2.45,5.0,0.505,0.599,0.599,0.296,0.415,0.519,0.362,condominium,yes,no,yes,no,no,469000
blockOfFlats,43.0,2.0,2.0,3.0,2014.0,51.1129676,17.1139537,5.88,6.0,0.921,3.12,1.287,0.332,0.359,2.853,0.487,condominium,yes,no,yes,no,no,680000
blockOfFlats,54.5,2.0,1.0,6.0,1987.0,51.1253602,16.9706521,4.44,23.0,0.169,1.032,0.417,0.054,0.127,0.887,0.037,condominium,yes,yes,yes,no,no,635000
tenement,48.0,2.0,1.0,3.0,1930.0,51.09360431,16.9896698,3.39,12.0,0.163,1.883,0.554,0.057,0.313,1.71,0.169,condominium,no,no,no,no,yes,596700
tenement,41.0,2.0,3.0,5.0,1930.0,51.11525537,17.06612519,2.59,11.0,0.572,0.382,0.395,0.325,0.105,1.037,0.388,condominium,no,yes,no,no,yes,519000
blockOfFlats,34.0,2.0,2.0,2.0,2017.0,51.0546,17.0589,6.56,2.0,1.61,2.432,0.661,0.377,0.552,3.095,0.303,condominium,no,yes,no,yes,no,549000
tenement,41.2,2.0,3.0,3.0,1900.0,51.120695,17.0381487,1.26,38.0,0.135,0.11,0.171,0.064,0.11,0.114,0.06,condominium,yes,no,no,no,yes,610000
blockOfFlats,58.0,3.0,1.0,4.0,1970.0,51.1144,16.9529,5.38,19.0,0.052,2.585,0.535,0.204,0.516,0.561,0.152,condominium,no,yes,no,no,yes,790000
blockOfFlats,46.2,2.0,3.0,4.0,1983.0,51.0921,17.0221,2.14,25.0,0.159,1.536,0.354,0.123,0.279,0.475,0.225,condominium,no,no,no,no,yes,607000
blockOfFlats,42.0,2.0,1.0,4.0,2015.0,51.12147074,17.03459304,1.24,37.0,0.091,0.216,0.286,0.071,0.154,0.352,0.2,condominium,yes,yes,yes,no,no,840000
tenement,60.92,3.0,1.0,3.0,1950.0,51.1213363,17.0322687,1.2,36.0,0.131,0.083,0.346,0.124,0.112,0.491,0.082,condominium,no,no,no,no,yes,609200
tenement,59.51,3.0,2.0,3.0,1950.0,51.1213363,17.0322687,1.2,36.0,0.131,0.083,0.346,0.124,0.112,0.491,0.082,condominium,no,no,no,no,yes,595100
tenement,77.41,3.0,1.0,3.0,1950.0,51.1213363,17.0322687,1.2,36.0,0.131,0.083,0.346,0.124,0.112,0.491,0.082,condominium,no,no,no,no,yes,774100
tenement,53.91,2.0,2.0,3.0,1950.0,51.1213363,17.0322687,1.2,36.0,0.131,0.083,0.346,0.124,0.112,0.491,0.082,condominium,no,no,no,no,yes,539100
tenement,80.75,3.0,3.0,3.0,1950.0,51.1213363,17.0322687,1.2,36.0,0.131,0.083,0.346,0.124,0.112,0.491,0.082,condominium,no,no,no,no,yes,807500
tenement,80.39,3.0,1.0,3.0,1950.0,51.1213363,17.0322687,1.2,36.0,0.131,0.083,0.346,0.124,0.112,0.491,0.082,condominium,no,no,no,no,yes,803900
apartmentBuilding,65.0,3.0,3.0,3.0,2004.0,51.06613,16.99715,5.46,11.0,0.306,0.557,0.938,0.284,0.057,2.348,0.153,condominium,no,yes,no,no,yes,795000
blockOfFlats,45.5,2.0,1.0,4.0,1970.0,51.10306,17.03078,0.85,56.0,0.231,0.607,0.205,0.125,0.076,0.141,0.103,condominium,no,no,no,no,yes,675000
blockOfFlats,75.0,3.0,2.0,12.0,2016.0,51.1420876,16.9563417,6.2,9.0,0.437,2.436,0.558,0.18,0.52,0.508,0.492,condominium,no,yes,yes,no,no,1199000
blockOfFlats,60.4,3.0,2.0,10.0,1980.0,51.11368,16.94895,5.65,9.0,0.283,2.866,0.788,0.304,0.747,0.813,0.376,condominium,no,yes,yes,no,yes,724500
blockOfFlats,60.4,3.0,6.0,8.0,1983.0,51.1170475,16.9506855,5.57,16.0,0.182,2.602,0.809,0.13,0.815,0.834,0.07,cooperative,no,yes,yes,no,yes,690000
tenement,37.0,2.0,3.0,5.0,1910.0,51.1,17.0074,1.96,26.0,0.06,1.292,0.205,0.211,0.14,1.052,0.067,condominium,yes,no,no,no,yes,460000
blockOfFlats,65.0,3.0,3.0,3.0,2004.0,51.0656857,16.9885225,5.78,16.0,0.413,1.127,1.067,0.032,0.018,2.686,0.247,condominium,no,yes,no,no,yes,795000
blockOfFlats,48.0,2.0,1.0,4.0,1973.0,51.1169907,17.0087679,1.63,31.0,0.147,0.556,0.131,0.176,0.106,0.336,0.128,cooperative,yes,no,no,no,yes,570000
apartmentBuilding,68.0,3.0,3.0,4.0,2005.0,51.1417257,17.0923635,5.57,3.0,1.269,2.802,1.059,0.77,0.232,1.441,0.406,condominium,yes,yes,no,no,no,779000
blockOfFlats,59.0,3.0,5.0,10.0,1980.0,51.1243,16.9623,4.95,6.0,0.553,1.62,0.729,0.082,0.316,1.288,0.378,condominium,no,no,yes,no,yes,759000
tenement,49.0,2.0,2.0,4.0,1950.0,51.1220467,17.0544595,2.13,17.0,0.179,0.07,0.617,0.183,0.461,1.119,0.066,condominium,no,yes,no,no,no,650000
blockOfFlats,65.0,3.0,3.0,3.0,1968.0,51.0893211,17.0159984,2.56,26.0,0.323,1.684,0.227,0.105,0.412,0.333,0.163,condominium,no,no,no,no,yes,815000
blockOfFlats,80.7,3.0,2.0,2.0,2006.0,51.0694,17.0119,4.76,5.0,0.062,0.566,0.507,0.084,0.104,1.724,0.789,condominium,no,yes,no,yes,yes,890000
blockOfFlats,27.0,1.0,2.0,4.0,1970.0,51.1216363,17.0127629,1.7,12.0,0.277,0.99,0.71,0.459,0.692,0.745,0.22,condominium,no,no,no,no,yes,450000
blockOfFlats,52.56,2.0,3.0,4.0,2020.0,51.1034,17.0413,1.14,43.0,0.151,0.42,0.508,0.253,0.189,0.154,0.311,condominium,no,no,no,no,yes,539900
blockOfFlats,64.63,3.0,1.0,10.0,1990.0,51.1273972,16.9638547,4.96,12.0,0.56,1.473,0.37,0.399,0.225,1.309,0.095,condominium,no,yes,yes,no,yes,738500
apartmentBuilding,50.0,2.0,1.0,2.0,2007.0,51.0609,17.02385,5.55,6.0,0.621,0.356,0.819,0.306,0.479,2.508,0.47,condominium,yes,yes,no,no,no,599900
blockOfFlats,53.55,3.0,3.0,3.0,2020.0,51.156974,17.0368205,5.17,2.0,1.326,1.152,0.866,0.04,0.661,3.049,0.542,condominium,yes,yes,yes,no,no,696000
blockOfFlats,56.0,2.0,2.0,5.0,2000.0,51.0715,16.9903,5.16,13.0,0.299,0.991,0.955,0.339,0.175,2.101,0.169,condominium,yes,yes,no,yes,yes,680000
apartmentBuilding,39.0,2.0,6.0,6.0,2022.0,51.0816,17.0378,3.28,9.0,0.423,0.886,0.231,0.336,0.244,1.095,0.242,condominium,no,yes,yes,no,no,550000
blockOfFlats,42.29,2.0,1.0,6.0,2015.0,51.1213363,17.0322687,1.2,36.0,0.131,0.083,0.346,0.124,0.112,0.491,0.082,condominium,yes,yes,yes,no,no,809000
apartmentBuilding,46.06,3.0,4.0,4.0,2008.0,51.06116,16.99795,5.94,5.0,0.434,0.949,1.019,0.437,0.21,2.846,0.528,condominium,no,no,yes,no,yes,619999
blockOfFlats,66.0,3.0,2.0,3.0,2011.0,51.09878,16.94119,6.33,8.0,0.725,2.597,0.086,0.042,0.437,1.495,0.393,condominium,yes,yes,no,no,yes,740000
apartmentBuilding,94.24,3.0,1.0,5.0,2015.0,51.0623632,16.9940942,5.92,4.0,0.198,0.992,1.233,0.219,0.504,2.817,0.416,condominium,yes,yes,yes,no,no,1220000
tenement,38.65,2.0,2.0,3.0,1920.0,51.1119668702112,17.0369733241818,0.52,114.0,0.119,0.286,0.135,0.06,0.045,0.371,0.109,condominium,no,no,no,no,yes,799000
tenement,71.4,4.0,3.0,4.0,1926.0,51.0886868,17.0087971,2.85,19.0,0.182,1.735,0.386,0.069,0.141,0.373,0.31,condominium,no,yes,no,no,yes,840000
blockOfFlats,28.13,1.0,1.0,3.0,2017.0,51.0538,17.0607,6.69,3.0,1.527,2.57,0.583,0.257,0.49,3.073,0.238,condominium,no,yes,no,no,no,465000
blockOfFlats,83.5,4.0,4.0,4.0,2009.0,51.1588,17.1371,9.2,6.0,0.126,0.919,0.224,0.199,0.902,1.784,0.14,condominium,no,yes,yes,yes,yes,824900
apartmentBuilding,72.05,3.0,4.0,6.0,2022.0,51.1175,17.0511,1.67,25.0,0.245,0.18,0.125,0.389,0.129,0.815,0.104,condominium,yes,yes,yes,no,yes,1356000
blockOfFlats,73.71,4.0,3.0,3.0,1972.0,51.12414205,16.96642041,4.67,15.0,0.278,1.336,0.74,0.105,0.281,1.212,0.331,condominium,yes,yes,no,no,yes,849000
blockOfFlats,43.0,2.0,2.0,4.0,2002.0,51.0786,17.0532,3.93,6.0,0.744,1.711,0.368,0.413,0.761,1.814,0.395,condominium,yes,yes,yes,no,no,599000
tenement,73.14,4.0,2.0,4.0,1930.0,51.0979964,17.0017842,2.41,16.0,0.163,1.723,0.384,0.168,0.572,1.427,0.239,condominium,yes,yes,no,no,yes,850000
blockOfFlats,86.16,3.0,1.0,2.0,2014.0,51.16381,17.00103,6.24,0.0,2.448,2.679,1.482,1.256,1.525,3.783,1.491,condominium,yes,yes,no,no,no,959000
blockOfFlats,38.0,2.0,1.0,4.0,2009.0,51.0733,17.08869,5.85,10.0,0.125,4.171,1.335,0.386,0.248,0.154,0.305,condominium,no,yes,yes,no,no,595000
blockOfFlats,40.0,2.0,3.0,4.0,1980.0,51.11716397,17.00381359,1.95,24.0,0.149,0.414,0.266,0.185,0.302,0.311,0.206,condominium,no,no,no,no,yes,495000
apartmentBuilding,58.0,3.0,4.0,4.0,2024.0,51.07657,16.9891,4.74,9.0,0.265,1.341,1.067,0.236,0.495,1.795,0.478,condominium,yes,yes,no,no,no,1130000
tenement,46.9,2.0,2.0,4.0,1950.0,51.1030379,17.0291715,0.85,57.0,0.263,0.516,0.31,0.123,0.026,0.174,0.153,condominium,yes,yes,no,no,no,650000
tenement,53.0,2.0,3.0,4.0,1950.0,51.1220467,17.0544595,2.13,17.0,0.179,0.07,0.617,0.183,0.461,1.119,0.066,condominium,no,no,no,no,yes,799000
tenement,51.42,2.0,1.0,2.0,1925.0,51.166611,17.1339871,9.57,1.0,0.785,1.7,0.807,0.467,0.697,2.464,0.672,condominium,no,no,no,no,yes,465000
tenement,66.5,2.0,1.0,3.0,1930.0,51.09395936,17.00283739,2.65,16.0,0.185,1.953,0.314,0.285,0.579,1.081,0.435,condominium,no,yes,no,no,no,839000
blockOfFlats,47.0,3.0,8.0,11.0,1970.0,51.0934137,17.0048512,2.59,18.0,0.083,1.896,0.188,0.237,0.453,0.963,0.353,condominium,no,no,yes,no,yes,650000
tenement,40.5,2.0,3.0,4.0,1930.0,51.1316525,17.0647214,3.37,6.0,0.607,0.671,0.903,0.211,0.119,1.104,0.142,condominium,yes,no,no,no,yes,429000
blockOfFlats,27.0,1.0,6.0,10.0,1980.0,51.0893211,17.0159984,2.56,26.0,0.323,1.684,0.227,0.105,0.412,0.333,0.163,cooperative,no,no,yes,no,yes,429000
blockOfFlats,58.0,3.0,1.0,4.0,1960.0,51.08972292,17.03824997,2.41,40.0,0.178,1.118,0.356,0.15,0.138,0.458,0.061,condominium,no,no,no,no,yes,754000
tenement,110.4,5.0,1.0,4.0,1930.0,51.1156,17.0583,2.06,29.0,0.195,0.365,0.258,0.081,0.333,0.784,0.162,condominium,yes,yes,no,no,yes,1499000
apartmentBuilding,86.0,3.0,2.0,7.0,2023.0,51.1269407,16.9937035,3.1,18.0,0.194,0.196,0.274,0.322,0.312,0.759,0.213,condominium,no,yes,yes,yes,no,1549000
blockOfFlats,47.0,2.0,2.0,3.0,1999.0,51.166611,17.1339871,9.57,1.0,0.785,1.7,0.807,0.467,0.697,2.464,0.672,condominium,no,yes,no,no,yes,555000
blockOfFlats,40.0,2.0,3.0,3.0,2018.0,51.0538,17.0607,6.69,3.0,1.527,2.57,0.583,0.257,0.49,3.073,0.238,condominium,no,yes,yes,no,no,600000
tenement,64.0,4.0,4.0,4.0,1920.0,51.1220467,17.0544595,2.13,17.0,0.179,0.07,0.617,0.183,0.461,1.119,0.066,condominium,no,no,no,no,yes,580000
blockOfFlats,56.2,3.0,2.0,4.0,2012.0,51.1389,16.978,4.79,3.0,0.639,1.162,0.459,0.229,1.026,1.238,0.282,condominium,no,no,yes,no,no,750000
apartmentBuilding,79.02,4.0,1.0,6.0,2017.0,51.1172,17.0469,1.4,31.0,0.174,0.461,0.181,0.181,0.132,0.538,0.372,condominium,yes,yes,yes,no,yes,1600000
blockOfFlats,56.0,3.0,4.0,4.0,1968.0,51.1176215,17.0121574,1.45,32.0,0.097,0.782,0.37,0.015,0.337,0.348,0.347,condominium,no,yes,no,no,yes,766000
apartmentBuilding,94.0,5.0,7.0,7.0,2007.0,51.10230372,17.00185206,2.16,11.0,0.433,1.245,0.597,0.079,0.438,0.954,0.394,condominium,yes,no,yes,no,no,1225000
blockOfFlats,48.98,2.0,4.0,4.0,2018.0,51.07203634,17.04503435,4.43,11.0,0.134,1.187,0.639,0.117,0.31,2.028,0.536,condominium,yes,yes,yes,no,no,769000
blockOfFlats,41.5,2.0,9.0,10.0,1987.0,51.07603,17.03419,3.87,11.0,0.681,0.355,0.527,0.248,0.458,1.166,0.124,condominium,no,no,yes,no,yes,570000
blockOfFlats,38.0,2.0,1.0,7.0,2015.0,51.1515525,17.0729966,5.45,4.0,0.475,2.023,2.085,0.16,0.126,1.228,1.227,condominium,no,yes,yes,no,no,545000
blockOfFlats,27.0,1.0,1.0,4.0,1996.0,51.0730798,16.9912513,4.97,9.0,0.164,0.998,0.863,0.216,0.087,1.928,0.066,cooperative,no,yes,yes,no,yes,399000
blockOfFlats,38.17,2.0,4.0,4.0,1970.0,51.1210388,17.0132791,1.63,12.0,0.219,0.96,0.676,0.4,0.655,0.673,0.184,cooperative,yes,yes,no,no,yes,499000
apartmentBuilding,61.8,2.0,4.0,6.0,2014.0,51.1083,17.0376,0.61,94.0,0.121,0.038,0.275,0.141,0.084,0.253,0.146,condominium,no,no,yes,no,no,1180000
blockOfFlats,55.0,2.0,6.0,6.0,2000.0,51.0917904,17.0401338,2.22,29.0,0.246,0.874,0.32,0.158,0.188,0.225,0.039,condominium,no,yes,yes,no,yes,760000
tenement,97.72,3.0,3.0,4.0,1900.0,51.1227944,17.0346759,1.39,35.0,0.215,0.314,0.139,0.209,0.133,0.445,0.126,condominium,no,no,no,no,yes,970000
apartmentBuilding,49.04,2.0,2.0,9.0,2018.0,51.1058066,17.0493718,1.47,27.0,0.236,0.286,0.447,0.213,0.448,0.292,0.273,condominium,yes,yes,yes,no,no,899999
apartmentBuilding,37.33,2.0,1.0,2.0,2023.0,51.1368462,17.1350187,7.9,0.0,0.845,1.643,0.904,0.551,0.848,1.322,0.754,condominium,yes,yes,no,no,no,543000
blockOfFlats,47.53,2.0,3.0,6.0,2014.0,51.0857501,17.0531068,3.22,9.0,0.046,1.763,0.488,0.197,0.127,1.101,0.391,condominium,no,yes,yes,no,no,710000
blockOfFlats,41.2,2.0,2.0,7.0,2024.0,51.0999063,17.045453,1.62,25.0,0.287,0.318,0.465,0.147,0.193,0.276,0.071,condominium,yes,yes,yes,no,no,790000
blockOfFlats,49.14,2.0,3.0,5.0,2017.0,51.1540665,17.0471914,4.97,1.0,1.585,0.715,0.922,0.552,1.434,2.283,0.203,condominium,no,yes,yes,no,no,680000
blockOfFlats,41.63,2.0,2.0,4.0,2004.0,51.12798352,16.96174049,5.12,9.0,0.717,1.611,0.361,0.418,0.318,1.454,0.143,condominium,yes,yes,no,no,yes,570000
blockOfFlats,60.4,3.0,2.0,10.0,1982.0,51.1179072,16.9584687,5.04,13.0,0.305,2.063,0.574,0.141,0.643,0.589,0.287,condominium,no,yes,yes,no,yes,724500
blockOfFlats,41.0,2.0,3.0,4.0,1980.0,51.0893211,17.0159984,2.56,26.0,0.323,1.684,0.227,0.105,0.412,0.333,0.163,condominium,no,no,no,no,yes,609500
blockOfFlats,82.0,3.0,5.0,5.0,2011.0,51.07183,17.03583,4.34,13.0,0.419,0.643,0.722,0.208,0.207,1.596,0.147,condominium,no,yes,yes,yes,no,900000
apartmentBuilding,70.13,3.0,3.0,5.0,2022.0,51.06054675,17.05452612,5.84,0.0,1.339,2.125,1.36,0.833,0.762,2.92,1.017,condominium,yes,yes,yes,no,no,879000
blockOfFlats,62.3,3.0,1.0,15.0,1980.0,51.115777,17.0074108,1.66,34.0,0.142,0.394,0.052,0.121,0.059,0.236,0.042,cooperative,yes,yes,no,no,yes,599999
apartmentBuilding,72.26,3.0,4.0,6.0,2019.0,51.0965404,16.9897791,3.21,8.0,0.306,2.1,0.621,0.27,0.196,1.62,0.257,condominium,no,yes,no,no,yes,1150000
tenement,50.0,2.0,2.0,4.0,1940.0,51.09360431,16.9896698,3.39,12.0,0.163,1.883,0.554,0.057,0.313,1.71,0.169,condominium,no,yes,no,no,no,639000
blockOfFlats,57.6,2.0,2.0,2.0,2004.0,51.1025622,16.943562,6.09,7.0,0.923,2.79,0.367,0.261,0.228,1.122,0.22,condominium,no,yes,no,no,no,709000
tenement,76.56,4.0,2.0,5.0,1930.0,51.1233992,17.0488142,1.94,22.0,0.356,0.371,0.237,0.059,0.327,0.804,0.262,condominium,no,yes,no,no,yes,720000
blockOfFlats,86.0,4.0,2.0,2.0,1960.0,51.09360431,16.9896698,3.39,12.0,0.163,1.883,0.554,0.057,0.313,1.71,0.169,condominium,no,no,no,no,yes,1090000
blockOfFlats,37.6,2.0,1.0,10.0,1980.0,51.0863356,17.0467667,2.96,15.0,0.259,1.534,0.045,0.361,0.036,0.967,0.065,condominium,no,no,yes,no,no,513000
blockOfFlats,51.79,2.0,1.0,7.0,2016.0,51.1604851,17.1329967,9.08,9.0,0.394,1.016,0.145,0.213,0.561,1.805,0.025,condominium,yes,no,yes,no,no,647375
blockOfFlats,52.0,2.0,3.0,4.0,2010.0,51.1424,17.1238,7.45,14.0,0.382,1.127,0.667,0.172,0.199,0.379,0.316,condominium,no,yes,yes,yes,no,598000
apartmentBuilding,56.0,3.0,1.0,4.0,2023.0,51.0538,17.0607,6.69,3.0,1.527,2.57,0.583,0.257,0.49,3.073,0.238,condominium,yes,yes,yes,no,no,840000
apartmentBuilding,38.47,2.0,2.0,3.0,2023.0,51.05836,17.06028,6.2,0.0,1.425,2.505,1.082,0.696,0.804,2.739,0.724,condominium,yes,yes,no,no,no,585000
apartmentBuilding,48.0,3.0,3.0,4.0,2023.0,51.05836,17.06028,6.2,0.0,1.425,2.505,1.082,0.696,0.804,2.739,0.724,condominium,yes,yes,yes,no,no,730000
blockOfFlats,28.0,1.0,1.0,3.0,2017.0,51.0538,17.0607,6.69,3.0,1.527,2.57,0.583,0.257,0.49,3.073,0.238,condominium,no,yes,yes,no,no,475000
blockOfFlats,35.0,2.0,1.0,15.0,1973.0,51.1119168,17.0621102,2.26,33.0,0.232,0.225,0.155,0.421,0.144,0.607,0.17,cooperative,no,yes,yes,no,yes,635400
apartmentBuilding,84.0,3.0,1.0,2.0,2022.0,51.0915786,16.931848,7.16,0.0,1.331,2.74,1.11,0.943,0.634,2.516,0.739,condominium,yes,yes,no,no,yes,1299000
blockOfFlats,64.9,4.0,11.0,12.0,1986.0,51.1343638,16.9746978,4.66,6.0,0.227,0.896,0.141,0.175,0.779,0.883,0.154,condominium,no,no,yes,no,yes,620000
apartmentBuilding,51.0,2.0,4.0,4.0,2021.0,51.0971,16.9478,5.92,13.0,0.251,2.137,0.521,0.196,0.046,1.331,0.2,condominium,yes,yes,yes,no,no,839000
blockOfFlats,48.0,2.0,2.0,6.0,2004.0,51.0786,17.0532,3.93,6.0,0.744,1.711,0.368,0.413,0.761,1.814,0.395,condominium,no,yes,yes,no,yes,599000
apartmentBuilding,62.0,2.0,2.0,7.0,2009.0,51.09220076,16.9810524,3.98,14.0,0.293,1.34,0.218,0.307,0.198,2.09,0.226,condominium,yes,yes,yes,no,no,799000
tenement,75.6,4.0,3.0,4.0,1938.0,51.09817834,17.0537728,2.18,15.0,0.175,0.912,0.239,0.107,0.176,0.435,0.107,condominium,no,no,no,no,no,799000
apartmentBuilding,51.15,2.0,2.0,8.0,2020.0,51.12492565,16.98517687,3.49,38.0,0.303,0.067,0.37,0.163,0.177,0.401,0.162,condominium,yes,no,yes,no,no,864000
apartmentBuilding,64.3,3.0,2.0,4.0,2014.0,51.1022,16.9466,5.88,10.0,0.803,2.63,0.466,0.344,0.217,0.963,0.013,condominium,no,yes,yes,no,yes,739000
blockOfFlats,46.73,2.0,4.0,5.0,1960.0,51.1081,17.0323,0.34,134.0,0.134,0.335,0.104,0.057,0.034,0.117,0.156,condominium,no,yes,no,no,yes,729000
blockOfFlats,29.7,1.0,1.0,3.0,2010.0,51.1555,17.1298,8.57,4.0,0.539,0.463,0.519,0.475,0.865,1.209,0.438,condominium,yes,yes,yes,no,no,399000
tenement,71.5,4.0,4.0,4.0,1900.0,51.1275327,17.0499936,2.34,12.0,0.224,0.615,0.074,0.371,0.209,1.162,0.05,condominium,no,yes,no,no,yes,675000
blockOfFlats,64.0,3.0,3.0,6.0,2017.0,51.1459,17.0356,3.94,2.0,0.46,0.552,0.402,0.732,0.513,2.595,0.542,condominium,yes,yes,yes,no,no,799000
blockOfFlats,52.0,2.0,3.0,10.0,1991.0,51.0893211,17.0159984,2.56,26.0,0.323,1.684,0.227,0.105,0.412,0.333,0.163,condominium,no,no,yes,no,yes,635000
blockOfFlats,59.38,2.0,4.0,5.0,1960.0,51.1224,17.0494,1.89,23.0,0.238,0.32,0.326,0.118,0.444,0.793,0.201,condominium,yes,yes,no,no,yes,666000
apartmentBuilding,35.0,2.0,3.0,3.0,2019.0,51.096506,17.0863018,4.25,0.0,0.995,1.948,1.237,0.728,0.905,1.48,0.962,condominium,no,yes,yes,no,no,730000
